"Model_Name","Temperature","Beam_Width","Item_Number","Genre","Title","POSConfirmity","RD_PerfectAll","RD_PerfectEnd","RD_VowelAll","RD_VowelEnd","ClosestMeter","AvgDistanceToMeter","BLEU_1_excl_Unsmoothed","BLEU_2_excl_Unsmoothed","BLEU_3_excl_Unsmoothed","BLEU_4_excl_Unsmoothed","BLEU_3_cumul_Smoothed","BLEU_4_cumul_Smoothed","Text"
"4.2-LM-108k-lines-genre-song_title","1.0","1","1543790822","punk","moves from beneath the blast",0.2851,0.3263,0.0667,0.7789,0.5333,"Trochaic trimeter",3.5263,1.0,0.7766,0.4086,0.0978,0.7673,0.5415,"peace is at its best
 wears a dirty k . o
 ? liar
 all man is like
 it 's like the devil ain 't afraid
 to show you somebody else

 out looking for food , in the fields
 listening to these absurd sounds
 hey , hey , hey , hey , hey , hey

 but i feelings ga whores , they mess with me
 and sighing with a girl in so many ways
 i 've seen the mission keen lightning
 fly up and down my wings and let some disagree
 cause i should lose my mind

 last night i gave up
 give me lovin '"
"4.2-LM-108k-lines-genre-song_title","1.0","2","1543790825","indie","here we are",0.6939,0.8556,0.7,0.8778,0.8,"Iambic trimeter",5.2857,1.0,0.9333,0.8202,0.6932,1.0421,0.9487,"
 i never thought i 'd grow up
 i never knew that i 'd be a fool
 i never thought i 'd know what to do

 you know , i know
 i know , i know , i know
 i know , i know , i know
 i know , i know , i know , i know , i know
 i know , i know , i know , i know , i know , i know
 i know , i know , i know , i know , i know , i know
 i know , i know , i know , i know , i know , i know

 i know , i know"
"4.2-LM-108k-lines-genre-song_title","1.0","3","1543790834","nan","just a little bit more (lp version )",0.7811,0.9596,0.9444,0.9798,0.9444,"Dactyllic dimeter",1.7,1.0,0.3737,0.1327,0.0412,0.5269,0.3419,"i 'm a little bit shy
 i 'm a little bit shy
 i 'm a little bit shy
 i 'm a little bit shy
 i 'm a little bit shy

 i 'm a little bit shy
 i 'm a little shy
 i 'm a little bit shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a little shy
 i 'm a"
"4.2-LM-108k-lines-genre-song_title","1.0","4","1543790842","nan","one for the money",1.0801,0.9684,1.0,0.9789,1.0,"Trochaic dimeter",1.0,1.0,0.6316,0.0638,0.0323,0.5724,0.3624,"one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money
 one for the money"
"4.2-LM-108k-lines-genre-song_title","1.0","5","1543790850","nan","do you remember me",1.4185,0.9789,1.0,0.9789,1.0,"Iambic trimeter",1.0,1.0,0.9789,0.6915,0.3011,0.9581,0.7655,"do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me
 do you remember me"
"4.2-LM-108k-lines-genre-song_title","1.2","1","1543790859","trip -hop","han shroud fag",0.4432,0.2211,0.0,0.7368,0.4,"Trochaic trimeter",4.5556,0.9688,0.3263,0.0532,0.0108,0.4613,0.2826,"han gã¥r um battery hat
 blick hit count temps
 det hã¤r han qualquer john
 ei unsaid homies
 citã© nightmares

 seit hand cattle choo
 military beings ya break weh ceiling loose
 tell me up (from michael yeah )
 she treat hell with duty like feeling slam
 flat with the chauffeur trying to donald cruise
 struggles have worn
 but terrain is all caught
 like you , you , nothing really matters cigarettes , honey bow
 oh , wow , wow , uh , great balls of fire , ball ball , ball , ball
 fully saved at succeed months let the chokes up anyhow

 black bambino rolling , ego rising"
"4.2-LM-108k-lines-genre-song_title","1.2","2","1543790861","big house","happy birthday to me (album version )",0.6288,0.5258,0.6875,0.7835,0.75,"Iambic dimeter",3.2,1.0,0.8763,0.5312,0.2,0.8583,0.638,"happy birthday to you
 happy birthday to you
 happy birthday to you
 happy birthday to you
 you 're the one who made the dreams come true
 you 're the one who opened up the door
 and left me alone in a hole

 last time i saw you there
 tell me what you 'd be waiting for
 now i 'm walking out my door
 that 's what i 've been told

 trying to do the best at you
 what you 've been trying to do ?
 your whole life 's been playing with you
 with you

 good times
 dark times "
"4.2-LM-108k-lines-genre-song_title","1.2","3","1543790870","heard on pandora","one more day",0.6803,0.6667,0.5625,0.7879,0.6875,"Trochaic trimeter",2.25,1.0,0.8081,0.5612,0.3505,0.8736,0.7004,"it 's been a long time coming
 and i 'm glad that you 're here
 and it 's a long , long road
 and it 's a long , long road

 i 've been waiting
 for so long for you
 i 've been waiting for you

 i 've been waiting so long
 i 've been waiting so long
 i 've been waiting so long ...
 i 've been waiting so long
 i 've been waiting so long

 i 've been waiting so long
 for this moment to come
 i 've been waiting so long
 for someone to come along
 to be with me"
"4.2-LM-108k-lines-genre-song_title","1.2","4","1543790878","ska","if i don 't want you",1.0129,0.76,1.0,0.78,1.0,"Iambic dimeter",2.25,0.9505,0.56,0.2222,0.0204,0.604,0.3904,"if i don 't want you
 if i don 't need you
 if i don 't need you
 if i don 't want you

 if i can 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you

 if i don 't have you
 i don 't have you
 if i don 't have you
 if i don 't have you
 if i don 't have you
 "
"4.2-LM-108k-lines-genre-song_title","1.2","5","1543790886","nan","for you (album version )",0.9888,0.7864,0.875,0.7864,0.875,"Iambic dimeter",1.7368,0.9038,0.7087,0.5196,0.2277,0.7851,0.5962,"i 'll be there for you
 i 'll be there for you
 i 'll be there for you
 you 'll be there for me
 i 'll be there for you
 you 'll be there for me

 you 'll be there for me
 you 'll be there for me
 you 'll be there for me
 i 'll be there for you
 you 'll be there for me
 i 'll be there for you
 i 'll be there for you
 i 'll be there for you , i 'll be there for you

 i 'll be there for you
 if you 'll be there for me
 i"
